Dataset,URL,File
Statmt-news_commentary-17-eng-zho,http://data.statmt.org/news-commentary/v17/training/news-commentary-v17.en-zh.tsv.gz,
Statmt-news_commentary-18-ara-eng,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.ar-en.tsv.gz,
Statmt-news_commentary-18-ces-eng,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.cs-en.tsv.gz,
Statmt-news_commentary-18-deu-eng,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.de-en.tsv.gz,
Statmt-news_commentary-18-eng-spa,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-es.tsv.gz,
Statmt-news_commentary-18-eng-fra,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-fr.tsv.gz,
Statmt-news_commentary-18-eng-hin,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-hi.tsv.gz,
Statmt-news_commentary-18-eng-ind,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-id.tsv.gz,
Statmt-news_commentary-18-eng-ita,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-it.tsv.gz,
Statmt-news_commentary-18-eng-jpn,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-ja.tsv.gz,
Statmt-news_commentary-18-eng-kaz,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-kk.tsv.gz,
Statmt-news_commentary-18-eng-nld,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-nl.tsv.gz,
Statmt-news_commentary-18-eng-por,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-pt.tsv.gz,
Statmt-news_commentary-18-eng-rus,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-ru.tsv.gz,
Statmt-news_commentary-18-eng-zho,http://data.statmt.org/news-commentary/v18/training/news-commentary-v18.en-zh.tsv.gz,
Statmt-news_commentary-18.1-ara-eng,http://data.statmt.org/news-commentary/v18.1/training/news-commentary-v18.ar-en.tsv.gz,
